1.0872004546897931e+00 -4.3364780004371156e-01 4.3695860297256646e-03
7.8705691009186918e-01 -5.4787832511508561e-01 1.1985704246715684e-02
4.5434162858814120e-01 -5.1543813502541924e-01 8.8503154373302598e-03
2.9889113378590088e-01 -4.3037845010997888e-01 4.3238069414154008e-03
2.7367369076336839e-01 -3.4800920488324838e-01 3.2352535923213638e-03
3.1196547663701962e-01 -3.1161150833888762e-01 5.4514901996757167e-03
3.6055458692463938e-01 -3.3008815505419437e-01 9.0137574513137874e-03
3.9647150564694145e-01 -3.6966613209674520e-01 1.1722818855775039e-02
4.1874177396306356e-01 -3.9944297340197438e-01 1.3016561733273847e-02
4.3053211827527499e-01 -4.0035808300395082e-01 1.3094486274952946e-02
4.3632774245362604e-01 -3.7053110679910434e-01 1.2495089807085026e-02
4.3925164766110902e-01 -3.1948374046363737e-01 1.1654954383488830e-02
4.4078455538197842e-01 -2.6064026307379212e-01 1.1026837545877790e-02
4.4121229507851284e-01 -2.0818796273974671e-01 1.0711939797265233e-02
4.4100786835207317e-01 -1.7123214906125747e-01 1.0589746048364471e-02
4.4062861924567309e-01 -1.5214261558984207e-01 1.0504611272513453e-02
4.4022457456851150e-01 -1.4616121573221130e-01 1.0446807172901045e-02
4.3964673405422294e-01 -1.4465180981536127e-01 1.0454453509746501e-02
4.3911872910258520e-01 -1.3965549499130339e-01 1.0616841087414871e-02
4.3906636571306379e-01 -1.2649915729841968e-01 1.1041216706986309e-02
4.3930001767020993e-01 -1.0357098419281290e-01 1.1607592113862492e-02
4.3941632871359454e-01 -7.4319272866029726e-02 1.2361697882141419e-02
4.3919269302355274e-01 -4.4410210209987977e-02 1.3417092714901773e-02
4.3858069817574841e-01 -1.7618292089325055e-02 1.5073539097402536e-02
4.3822017114748341e-01 4.6819257020383285e-03 1.7357872228661607e-02
4.3870878818485126e-01 2.2600028856177654e-02 1.9865195534584129e-02
4.4015683944229533e-01 3.6416314819094540e-02 2.1943668436450195e-02
4.4184176751067428e-01 4.5321779838848324e-02 2.3286568069814318e-02
4.4310229050569316e-01 4.7999107932835176e-02 2.4101239229712926e-02
